0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/css/elegant-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/css/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/css/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/css/slicknav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/js/jquery.nice-select.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/js/jquery.slicknav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/img/flag.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/img/blog/latest-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/img/blog/latest-4.jpg HTTP/1.1" 200 47746
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/img/blog/latest-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/img/blog/latest-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/img/blog/latest-6.jpg HTTP/1.1" 200 42748
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/img/blog/latest-7.jpg HTTP/1.1" 200 55786
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/img/blog/latest-8.jpg HTTP/1.1" 200 55099
